strike,type,importance,label
6907.05,zero_gamma,10,Zero Gamma
6900.0,resistance,9,Major Resistance (Vol)
6930.0,support,9,Major Support (Vol)
6700.0,resistance,8,Major Resistance (OI)
7000.0,support,8,Major Support (OI)
6920.0,support,7,Support
6925.0,support,7,Support
6935.0,support,7,Support
6940.0,support,7,Support
6950.0,support,7,Support
6955.0,support,7,Support
6960.0,support,7,Support
6970.0,support,7,Support
6975.0,support,7,Support
6980.0,support,7,Support
7050.0,support,7,Support
7100.0,support,7,Support
